Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
red-bull-racing-rb20,Red Bull Racing RB20 Scale Model Car,"<p>Premium collectible replica of the Red Bull Racing RB20. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Red Bull, RB20, Model Car, Scale Model",true,Scale,1:24,Stand Option,Desk Stand,,,CAR-124-DES-RED-,,shopify,50,deny,,4498.3,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
red-bull-racing-rb20,Red Bull Racing RB20 Scale Model Car,"<p>Premium collectible replica of the Red Bull Racing RB20. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Red Bull, RB20, Model Car, Scale Model",true,Scale,1:18,Stand Option,None,,,CAR-118-NON-RED-,,shopify,50,deny,,4999.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
red-bull-racing-rb20,Red Bull Racing RB20 Scale Model Car,"<p>Premium collectible replica of the Red Bull Racing RB20. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Red Bull, RB20, Model Car, Scale Model",true,Scale,1:18,Stand Option,Desk Stand,,,CAR-118-DES-RED-,,shopify,50,deny,,5998.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
red-bull-racing-rb20,Red Bull Racing RB20 Scale Model Car,"<p>Premium collectible replica of the Red Bull Racing RB20. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Red Bull, RB20, Model Car, Scale Model",true,Scale,1:8,Stand Option,None,,,CAR-18-NON-RED-,,shopify,50,deny,,27494.5,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
red-bull-racing-rb20,Red Bull Racing RB20 Scale Model Car,"<p>Premium collectible replica of the Red Bull Racing RB20. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Red Bull, RB20, Model Car, Scale Model",true,Scale,1:8,Stand Option,Desk Stand,,,CAR-18-DES-RED-,,shopify,50,deny,,28493.5,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mclaren-mcl38,McLaren MCL38 Scale Model Car,"<p>Premium collectible replica of the McLaren MCL38. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"McLaren, MCL38, Model Car, Scale Model",true,Scale,1:64,Stand Option,None,,,CAR-164-NON-MCLA,,shopify,50,deny,,1499.7,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/mclaren.png,1,,,,,,,,,,,,,,,,,,,,,,,,active
mclaren-mcl38,McLaren MCL38 Scale Model Car,"<p>Premium collectible replica of the McLaren MCL38. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"McLaren, MCL38, Model Car, Scale Model",true,Scale,1:64,Stand Option,Desk Stand,,,CAR-164-DES-MCLA,,shopify,50,deny,,2498.7,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mclaren-mcl38,McLaren MCL38 Scale Model Car,"<p>Premium collectible replica of the McLaren MCL38. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"McLaren, MCL38, Model Car, Scale Model",true,Scale,1:24,Stand Option,None,,,CAR-124-NON-MCLA,,shopify,50,deny,,3499.3,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mclaren-mcl38,McLaren MCL38 Scale Model Car,"<p>Premium collectible replica of the McLaren MCL38. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"McLaren, MCL38, Model Car, Scale Model",true,Scale,1:24,Stand Option,Desk Stand,,,CAR-124-DES-MCLA,,shopify,50,deny,,4498.3,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mclaren-mcl38,McLaren MCL38 Scale Model Car,"<p>Premium collectible replica of the McLaren MCL38. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"McLaren, MCL38, Model Car, Scale Model",true,Scale,1:18,Stand Option,None,,,CAR-118-NON-MCLA,,shopify,50,deny,,4999.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mclaren-mcl38,McLaren MCL38 Scale Model Car,"<p>Premium collectible replica of the McLaren MCL38. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"McLaren, MCL38, Model Car, Scale Model",true,Scale,1:18,Stand Option,Desk Stand,,,CAR-118-DES-MCLA,,shopify,50,deny,,5998.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mclaren-mcl38,McLaren MCL38 Scale Model Car,"<p>Premium collectible replica of the McLaren MCL38. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"McLaren, MCL38, Model Car, Scale Model",true,Scale,1:8,Stand Option,None,,,CAR-18-NON-MCLA,,shopify,50,deny,,27494.5,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mclaren-mcl38,McLaren MCL38 Scale Model Car,"<p>Premium collectible replica of the McLaren MCL38. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"McLaren, MCL38, Model Car, Scale Model",true,Scale,1:8,Stand Option,Desk Stand,,,CAR-18-DES-MCLA,,shopify,50,deny,,28493.5,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mercedes-amg-w15,Mercedes-AMG W15 Scale Model Car,"<p>Premium collectible replica of the Mercedes-AMG W15. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Mercedes, W15, Model Car, Scale Model",true,Scale,1:64,Stand Option,None,,,CAR-164-NON-MERC,,shopify,50,deny,,1499.7,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/mercedes.png,1,,,,,,,,,,,,,,,,,,,,,,,,active
mercedes-amg-w15,Mercedes-AMG W15 Scale Model Car,"<p>Premium collectible replica of the Mercedes-AMG W15. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Mercedes, W15, Model Car, Scale Model",true,Scale,1:64,Stand Option,Desk Stand,,,CAR-164-DES-MERC,,shopify,50,deny,,2498.7,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mercedes-amg-w15,Mercedes-AMG W15 Scale Model Car,"<p>Premium collectible replica of the Mercedes-AMG W15. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Mercedes, W15, Model Car, Scale Model",true,Scale,1:24,Stand Option,None,,,CAR-124-NON-MERC,,shopify,50,deny,,3499.3,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mercedes-amg-w15,Mercedes-AMG W15 Scale Model Car,"<p>Premium collectible replica of the Mercedes-AMG W15. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Mercedes, W15, Model Car, Scale Model",true,Scale,1:24,Stand Option,Desk Stand,,,CAR-124-DES-MERC,,shopify,50,deny,,4498.3,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mercedes-amg-w15,Mercedes-AMG W15 Scale Model Car,"<p>Premium collectible replica of the Mercedes-AMG W15. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Mercedes, W15, Model Car, Scale Model",true,Scale,1:18,Stand Option,None,,,CAR-118-NON-MERC,,shopify,50,deny,,4999.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mercedes-amg-w15,Mercedes-AMG W15 Scale Model Car,"<p>Premium collectible replica of the Mercedes-AMG W15. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Mercedes, W15, Model Car, Scale Model",true,Scale,1:18,Stand Option,Desk Stand,,,CAR-118-DES-MERC,,shopify,50,deny,,5998.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mercedes-amg-w15,Mercedes-AMG W15 Scale Model Car,"<p>Premium collectible replica of the Mercedes-AMG W15. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Mercedes, W15, Model Car, Scale Model",true,Scale,1:8,Stand Option,None,,,CAR-18-NON-MERC,,shopify,50,deny,,27494.5,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
mercedes-amg-w15,Mercedes-AMG W15 Scale Model Car,"<p>Premium collectible replica of the Mercedes-AMG W15. High precision die-cast chassis with carbon details, steerable rubber tyres, and authentic race livery.</p>",PITWALL,,Car Models,"Mercedes, W15, Model Car, Scale Model",true,Scale,1:8,Stand Option,Desk Stand,,,CAR-18-DES-MERC,,shopify,50,deny,,28493.5,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
monaco-gp-track-art,Monaco Grand Prix 2D Wood Wall Art,<p>Hand-finished multi-layer wooden track sculpture of Monte Carlo GP. Clean minimalist track art.</p>,PITWALL,,2D Wall Art,"Track Art, Wall Art, Monaco",true,Title,Default Title,,,,,,,shopify,100,deny,manual,2999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/wall_art.png,1,Monaco Grand Prix 2D Wood Wall Art,false,,,,,,,,,,,,,,,,,,,,,,active
silverstone-gp-track-art,Silverstone GP Track 2D Wood Wall Art,<p>The home of British motorsport laser-carved from sustainable birch wood with speed vector branding.</p>,PITWALL,,2D Wall Art,"Track Art, Wall Art, Silverstone",true,Title,Default Title,,,,,,,shopify,100,deny,manual,2999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/wall_art.png,1,Silverstone GP Track 2D Wood Wall Art,false,,,,,,,,,,,,,,,,,,,,,,active
ferrari-silhouette-wall-art,Ferrari F1 Silhouette 2D Metal Wall Art,"<p>Sleek, minimalist metal wall hanger outlining the gorgeous contours of the Scuderia Ferrari F1 chassis.</p>",PITWALL,,2D Wall Art,"Wall Art, Ferrari, Silhouette",true,Title,Default Title,,,,,,,shopify,100,deny,manual,3999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/wall_art.png,1,Ferrari F1 Silhouette 2D Metal Wall Art,false,,,,,,,,,,,,,,,,,,,,,,active
f1-track-keyholder-wall-mount,F1 Track Keyholder Wall Mount,<p>Dual-function F1 track outline equipped with magnetic carbon keyholders. Minimalist and practical wall storage.</p>,PITWALL,,2D Wall Art,"Wall Art, Keyholder, Accessories",true,Title,Default Title,,,,,,,shopify,100,deny,manual,1899.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/wall_art.png,1,F1 Track Keyholder Wall Mount,false,,,,,,,,,,,,,,,,,,,,,,active
f1-steering-wheel-keychain,F1 Steering Wheel Metal Keychain,<p>Heavy-duty alloy miniature replica of a modern F1 steering wheel with dials and carbon texturing.</p>,PITWALL,,Keychains,"Keychain, Gift",true,Title,Default Title,,,,,,,shopify,100,deny,manual,499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/keychains.png,1,F1 Steering Wheel Metal Keychain,false,,,,,,,,,,,,,,,,,,,,,,active
f1-pirelli-tyre-keychain,F1 Pirelli Tyre Rubber Keychain,<p>Authentic miniature rubber tyre with yellow Soft lettering and rotating wheel rim.</p>,PITWALL,,Keychains,"Keychain, Gift",true,Title,Default Title,,,,,,,shopify,100,deny,manual,399.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/keychains.png,1,F1 Pirelli Tyre Rubber Keychain,false,,,,,,,,,,,,,,,,,,,,,,active
f1-carbon-helmet-keychain,F1 Carbon Fiber Helmet Keychain,<p>Glossy miniature helmet with carbon pattern overlay and functional visor flip.</p>,PITWALL,,Keychains,"Keychain, Gift",true,Title,Default Title,,,,,,,shopify,100,deny,manual,599.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/keychains.png,1,F1 Carbon Fiber Helmet Keychain,false,,,,,,,,,,,,,,,,,,,,,,active
f1-spinning-brake-disc-keychain,F1 Brake Disc Spinning Keychain,<p>Functional spinning metal keychain replica of the carbon-ceramic brake disc and red calliper.</p>,PITWALL,,Keychains,"Keychain, Gift",true,Title,Default Title,,,,,,,shopify,100,deny,manual,499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/keychains.png,1,F1 Brake Disc Spinning Keychain,false,,,,,,,,,,,,,,,,,,,,,,active
f1-front-wing-desk-stand,F1 Front Wing 1:8 Desk Stand,"<p>Premium miniature front wing model designed to stand as a desk decoration, detailing aerodynamic elements.</p>",PITWALL,,Desk Accessories,"Desk, Front Wing, Stand",true,Title,Default Title,,,,,,,shopify,100,deny,manual,2499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/desk_accessories.png,1,F1 Front Wing 1:8 Desk Stand,false,,,,,,,,,,,,,,,,,,,,,,active
f1-track-map-desk-stand,F1 Track Map Acrylic Desk Stand,"<p>Laser etched acrylic plate mapping the season calendar circuits, set in a weighted metal base.</p>",PITWALL,,Desk Accessories,"Desk, Track Map",true,Title,Default Title,,,,,,,shopify,100,deny,manual,1499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/desk_accessories.png,1,F1 Track Map Acrylic Desk Stand,false,,,,,,,,,,,,,,,,,,,,,,active
f1-brake-calliper-pen-holder,F1 Brake Calliper Miniature Pen Holder,<p>Detailed carbon disc caliper design milled out to hold up to 3 executive pens. Metal alloy build.</p>,PITWALL,,Desk Accessories,"Desk, Pen Holder",true,Title,Default Title,,,,,,,shopify,100,deny,manual,1999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/desk_accessories.png,1,F1 Brake Calliper Miniature Pen Holder,false,,,,,,,,,,,,,,,,,,,,,,active
f1-tyre-compound-coaster-set,F1 Tyre Compound Coaster Set,"<p>Set of 4 heavy rubber coasters molded to look like the Soft (Red), Medium (Yellow), Hard (White), and Wet (Blue) tyre compounds.</p>",PITWALL,,Desk Accessories,"Desk, Coasters",true,Title,Default Title,,,,,,,shopify,100,deny,manual,1299.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/desk_accessories.png,1,F1 Tyre Compound Coaster Set,false,,,,,,,,,,,,,,,,,,,,,,active
f1-keycaps-cherry-mx-set,F1 Keycaps Cherry MX Set,<p>Custom double-shot PBT keycaps featuring standard racing fonts and speed indicators. Compatible with Cherry MX mechanical keyboards.</p>,PITWALL,,Desk Accessories,"Desk, Keycaps",true,Title,Default Title,,,,,,,shopify,100,deny,manual,999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/desk_accessories.png,1,F1 Keycaps Cherry MX Set,false,,,,,,,,,,,,,,,,,,,,,,active
f1-carbon-controller-stand,F1 Carbon Fiber Controller Stand,<p>Minimalist headset and game controller stand layered in genuine pre-preg carbon fiber look.</p>,PITWALL,,Desk Accessories,"Desk, Controller Stand",true,Title,Default Title,,,,,,,shopify,100,deny,manual,2299.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/desk_accessories.png,1,F1 Carbon Fiber Controller Stand,false,,,,,,,,,,,,,,,,,,,,,,active
f1-pit-lane-layered-wood-art,F1 Pit Lane Layered Wood Art,<p>Staggered 3D laser-carved birch shadowbox showing the high-intensity action of a pit stop.</p>,PITWALL,,Layered Art,"Layered Art, Wood Art",true,Title,Default Title,,,,,,,shopify,100,deny,manual,5999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/layered_art.png,1,F1 Pit Lane Layered Wood Art,false,,,,,,,,,,,,,,,,,,,,,,active
f1-start-grid-3d-shadowbox,F1 Start Grid 3D Layered Shadowbox Art,<p>Five-star red lights start sequence layered in plexiglass and wood. Sound-reactive lights variant option.</p>,PITWALL,,Layered Art,"Layered Art, Shadowbox",true,Title,Default Title,,,,,,,shopify,100,deny,manual,6499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/layered_art.png,1,F1 Start Grid 3D Layered Shadowbox Art,false,,,,,,,,,,,,,,,,,,,,,,active
max-verstappen-collectible-figurine,Max Verstappen Collectible Figurine,<p>Collectible hand-painted miniature model of Max Verstappen in full racing overalls and helmet.</p>,PITWALL,,Driver Figurines,"Figurine, Max Verstappen, Collectible",true,Scale,1:64,,,,,FIG-164-MAX-,,shopify,80,deny,,1499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/driver_figurine.png,1,,,,,,,,,,,,,,,,,,,,,,,,active
max-verstappen-collectible-figurine,Max Verstappen Collectible Figurine,<p>Collectible hand-painted miniature model of Max Verstappen in full racing overalls and helmet.</p>,PITWALL,,Driver Figurines,"Figurine, Max Verstappen, Collectible",true,Scale,1:24,,,,,FIG-124-MAX-,,shopify,80,deny,,3499.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
lewis-hamilton-collectible-figurine,Lewis Hamilton Collectible Figurine,<p>Collectible hand-painted miniature model of Lewis Hamilton in full racing overalls and helmet.</p>,PITWALL,,Driver Figurines,"Figurine, Lewis Hamilton, Collectible",true,Scale,1:64,,,,,FIG-164-LEWI,,shopify,80,deny,,1499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/driver_figurine.png,1,,,,,,,,,,,,,,,,,,,,,,,,active
lewis-hamilton-collectible-figurine,Lewis Hamilton Collectible Figurine,<p>Collectible hand-painted miniature model of Lewis Hamilton in full racing overalls and helmet.</p>,PITWALL,,Driver Figurines,"Figurine, Lewis Hamilton, Collectible",true,Scale,1:24,,,,,FIG-124-LEWI,,shopify,80,deny,,3499.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
lando-norris-collectible-figurine,Lando Norris Collectible Figurine,<p>Collectible hand-painted miniature model of Lando Norris in full racing overalls and helmet.</p>,PITWALL,,Driver Figurines,"Figurine, Lando Norris, Collectible",true,Scale,1:64,,,,,FIG-164-LAND,,shopify,80,deny,,1499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/driver_figurine.png,1,,,,,,,,,,,,,,,,,,,,,,,,active
lando-norris-collectible-figurine,Lando Norris Collectible Figurine,<p>Collectible hand-painted miniature model of Lando Norris in full racing overalls and helmet.</p>,PITWALL,,Driver Figurines,"Figurine, Lando Norris, Collectible",true,Scale,1:24,,,,,FIG-124-LAND,,shopify,80,deny,,3499.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
